id	successful	dissovet	speciality	title	author	supervisor	uploaded	defended	interval
480608	True	04.19.00	2.3.4	Метод и модели управления индивидуальными туристическими маршрутами на основе глубоких нейронных сетей	Михайлов Сергей Андреевич	Смирнов Александр Викторович	22.11.2021	24.12.2021	32
243678	True	02.18.00	05.13.17	Исследование и разработка алгоритмов рекомендательных систем на основе информационных моделей динамики пользовательского опыта в сетях предоставления услуг	Деревицкий Иван Владиславович	Бухановский Александр Валерьевич	24.11.2020	24.12.2020	30
49079551	True	09.22.00	2.7.1	Разработка технологии пробиотического мороженого без сахарозы	Тютьков Никита	Бараненко Денис Александрович	03.06.2025	03.07.2025	30
476014	True	02.18.00	05.13.19	Модели, алгоритмы и методика проектирования защищенных от киберфизических атак систем физической безопасности на основе микроконтроллеров	Левшун Дмитрий Сергеевич	Котенко Игорь Витальевич	15.11.2021	15.12.2021	30
1035146	True	04.22.00	2.3.8	Методы и алгоритмы аудиовизуального распознавания эмоционального состояния типично и атипично развивающихся детей	Матвеев Антон Юрьевич	Махныткина Олеся Владимировна	21.11.2023	22.12.2023	31
49162378	True	03.22.00	2.3.1	Настройка параметров регуляторов для нелинейных непрерывных систем на основе алгоритмов оптимизации	Хоанг Дык Лонг	Дударенко Наталия Александровна	25.07.2025	25.08.2025	31
904041	True	03.22.00	2.3.1	Управление по выходу параметрически неопределенным линейным объектом с неучтенной динамикой и возмущающими воздействиями	Громова Фатимат Беслановна	Борисов Олег Игоревич	26.05.2023	26.06.2023	31
229766	True	08.19.00	01.04.14	Фундаментальное уравнение состояния хладагента r1234yf в рамках масштабной теории критической точки	Свердлов Александр Викторович	Рыков Владимир Алексеевич	21.11.2020	23.12.2020	32
18759617	True	04.22.00	2.3.8	Модели и алгоритмы вычислительных процессов для решения трудных вариантов проблемы булевой выполнимости	Павленко Артём Леонидович	Семёнов Александр Анатольевич	22.11.2024	24.12.2024	32
125947	True	05.19.00	01.04.05	Нелинейные топологические эффекты в полупроводниковых оптических микрорезонаторах	Налитов Антон Витальевич	Тиходеев Сергей Григорьевич	26.02.2021	28.04.2021	61
14075899	True	08.22.00	1.3.14	Исследование теплофизических свойств металлокерамических спеченных фрикционных материалов на основе меди	Киляшов Артемий Александрович	Баранов Игорь Владимирович	18.11.2024	19.12.2024	31
917124	True	07.22.00	1.3.11	Синтез непланарных наногетероструктур на основе iii-n полупроводниковых материалов на кремнии методом молекулярно-пучковой эпитаксии и их свойства	Гридчин Владислав Олегович	Цырлин Георгий Эрнстович	29.05.2023	30.06.2023	32
962532	True	05.22.00	1.3.6	Нанокомпозит на основе сульфида мышьяка в пористом стекле: фотоиндуцированные эффекты и влияние наночастиц золота	Альхалил Джордж	Бурункова Юлия Эдуардовна	27.07.2023	30.08.2023	34
1026696	True	05.22.00	1.3.6	Оптические наноантенны для эффективного возбуждения и поглощения электромагнитных волн	Проскурин Алексей Алексеевич	Богданов Андрей Андреевич	13.11.2023	13.12.2023	30
747006	True	09.22.00	2.7.1	Разработка технологии напитка на основе голозерного овса, обогащенного бета-каротином, инкапсулированным в бета-глюкановую матрицу	Ибрахим Моника Набиль Гайед	Баракова Надежда Васильевна	15.11.2022	15.12.2022	30
10311106	True	15.24.00	1.3.6	Высококонтрастные перестраиваемые фотонные структуры на основе материалов с фазовой памятью ge2sb2te5	Соломонов Александр Иванович	Рыбин Михаил Валерьевич	18.11.2024	18.12.2024	30
149844	True	06.19.00	05.11.07	Оптико-электронные методы и средства комплексной оценки распределения яркости в условиях городской среды	Колгушкина Светлана Владимировна	Прокопенко Виктор Трофимович	25.05.2020	08.09.2020	106
14074408	True	16.24.00	1.3.4	Субволновые объемные резонаторы для перераспределения радиочастотного поля в высокопольной магнитно-резонансной томографии	Пучнин Виктор Михайлович	Щелокова Алёна Вадимовна	18.11.2024	18.12.2024	30
129212	True	09.19.00	05.18.07	Технология пшеничного кваса с использованием комбинации дрожжей и молочнокислых бактерий	Алексеева Мария Сергеевна	Баланов Петр Евгеньевич	25.02.2020	27.03.2020	31
1016833	True	05.22.00	1.3.6	Оптические вихри в циркулярных оптических волокнах с изгибными регулярными и вихревыми акустическими модами	Викулин Дмитрий Вячеславович	Яворский Максим Александрович	19.10.2023	22.11.2023	34
1012386	True	06.22.00	2.2.6	Разработка и исследование планапохроматических компактных двухканальных оптических систем с регистрацией изображения для медицинских исследований	Кожина Анастасия Дмитриевна	Цыганок Елена Анатольевна	02.10.2023	02.11.2023	31
